epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.77,0.83669,2.24093,1.21065,0.59407,0.58501,0.62225,0.45883,0.88274,2.30312,1.32143,0.000410354,0.000410354,0.000410354
2,458.896,0.91418,1.52544,1.2443,0.68385,0.62157,0.70223,0.49025,1.08506,1.90221,1.5826,0.000772437,0.000772437,0.000772437
3,1655.18,0.94207,1.40755,1.25216,0.67239,0.67311,0.76409,0.52631,1.02266,2.16508,1.44745,0.00107952,0.00107952,0.00107952
4,1956.14,0.94265,1.31247,1.26251,0.72249,0.724,0.79507,0.56298,1.0128,1.67428,1.39902,0.0010025,0.0010025,0.0010025
5,2228.78,0.91381,1.22304,1.23456,0.85541,0.72806,0.85047,0.61239,1.0821,1.4533,1.42293,0.00092,0.00092,0.00092
6,2456.52,0.85852,1.33268,1.24535,0.81255,0.73115,0.8288,0.58866,1.01887,1.62983,1.46139,0.0008375,0.0008375,0.0008375
7,2681.99,0.84137,1.15404,1.22884,0.82031,0.78264,0.84847,0.62953,0.97669,1.21166,1.42005,0.000755,0.000755,0.000755
8,2933.16,0.81533,1.03197,1.20966,0.8457,0.77473,0.86752,0.65312,0.9823,1.17774,1.38437,0.0006725,0.0006725,0.0006725
9,3209.58,0.74872,0.91033,1.1477,0.86042,0.8494,0.91242,0.71326,0.77894,0.9398,1.20579,0.00059,0.00059,0.00059
10,3434.15,0.72685,0.84529,1.12054,0.8777,0.82049,0.8972,0.69723,0.90421,0.93852,1.30419,0.0005075,0.0005075,0.0005075
11,3660.01,0.68218,0.77343,1.09134,0.91291,0.85745,0.93179,0.74213,0.86988,0.77767,1.32515,0.000425,0.000425,0.000425
12,3885.94,0.65491,0.70374,1.08393,0.93052,0.84829,0.93318,0.74017,0.91977,0.75398,1.40988,0.0003425,0.0003425,0.0003425
13,4113.91,0.62585,0.6654,1.053,0.91422,0.88033,0.94291,0.76397,0.90997,0.70464,1.45233,0.00026,0.00026,0.00026
14,4339.2,0.59364,0.62407,1.03157,0.90968,0.87347,0.93534,0.77427,0.86769,0.69617,1.35715,0.0001775,0.0001775,0.0001775
15,4564.61,0.56991,0.58854,1.01327,0.90443,0.89623,0.94253,0.77628,0.8709,0.65893,1.38113,9.5e-05,9.5e-05,9.5e-05
