epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.107,3.22479,4.46304,4.29014,0.0031,0.58065,0.01465,0.00556,2.98031,4.66744,4.15835,0.00011669,0.00011669,0.00011669
2,235.254,3.25719,4.34997,4.30387,0.0051,0.29032,0.00959,0.00319,2.97754,4.66911,4.15675,0.000240148,0.000240148,0.000240148
3,349.977,3.25425,4.28959,4.18849,0.00488,0.29032,0.00784,0.00357,2.97564,4.66783,4.15506,0.000353044,0.000353044,0.000353044
4,463.378,3.15033,4.11527,4.1343,0.00449,0.29032,0.0067,0.00296,2.97554,4.65261,4.15287,0.000455378,0.000455378,0.000455378
5,577.135,3.09186,3.8587,4.0816,0.00489,0.35484,0.01337,0.00376,2.97516,4.62558,4.15094,0.000547149,0.000547149,0.000547149
6,691.609,3.11605,3.7901,3.98359,0.00378,0.35484,0.0152,0.00418,2.97278,4.58261,4.15073,0.000628359,0.000628359,0.000628359
7,804.06,3.04559,3.67254,3.8761,0.00375,0.35484,0.1163,0.02756,2.97226,4.529,4.16346,0.000699006,0.000699006,0.000699006
8,916.56,2.90812,3.42014,3.72464,0.00423,0.35484,0.1212,0.03144,2.97393,4.52586,4.17758,0.000759092,0.000759092,0.000759092
9,1029.1,2.91599,3.33079,3.64783,0.0041,0.32258,0.06815,0.02877,2.99195,4.55293,4.24604,0.000808615,0.000808615,0.000808615
10,1141.69,2.86294,3.19221,3.53137,0.00434,0.32258,0.00403,0.00187,3.02609,4.58652,4.30172,0.000847576,0.000847576,0.000847576
11,1253.93,2.81768,3.17632,3.4474,0.00451,0.32258,0.0281,0.00759,3.03595,4.55295,4.28005,0.000875975,0.000875975,0.000875975
12,1366.44,2.77576,3.12086,3.42035,0.0044,0.29032,0.05069,0.0216,3.08128,4.45097,4.32538,0.000893812,0.000893812,0.000893812
13,1479.47,2.63967,2.90071,3.27178,0.00257,0.41935,0.09904,0.03836,3.05602,4.36412,4.24076,0.000874842,0.000874842,0.000874842
14,1592.59,2.76653,3.01554,3.38183,0.27597,0.09677,0.09537,0.04592,3.05167,4.34872,4.12308,0.000808828,0.000808828,0.000808828
15,1705.44,2.83754,2.93384,3.40236,0.34547,0.10264,0.09926,0.06047,2.89908,4.461,3.98161,0.000742815,0.000742815,0.000742815
16,1819.96,2.16481,2.96589,2.92151,0.48777,0.09677,0.103,0.07149,2.72581,4.50019,3.76702,0.000676802,0.000676802,0.000676802
17,1933.5,2.17435,2.8037,2.89805,0.41702,0.12903,0.12815,0.08429,2.61377,4.2462,3.62821,0.000610789,0.000610789,0.000610789
18,2046.31,2.1478,2.75731,2.9038,0.51486,0.09677,0.13401,0.09138,2.53425,4.04947,3.55295,0.000544776,0.000544776,0.000544776
19,2158.81,2.11449,2.66625,2.82694,0.28719,0.09677,0.21809,0.10263,2.40859,3.91137,3.36023,0.000478762,0.000478762,0.000478762
20,2271.33,2.12862,2.62904,2.85139,0.49814,0.19223,0.43856,0.17807,2.27921,3.59516,3.11939,0.000412749,0.000412749,0.000412749
21,2384.18,2.09778,2.59014,2.81149,0.94094,0.51407,0.72209,0.25953,2.25729,3.04545,2.9159,0.000346736,0.000346736,0.000346736
22,2497.3,2.06892,2.53819,2.78332,0.80402,0.52976,0.71042,0.29054,2.17097,2.58384,2.73954,0.000280723,0.000280723,0.000280723
23,2610.72,1.95286,2.408,2.76852,0.81296,0.56118,0.74879,0.29801,2.18335,2.54592,2.76426,0.00021471,0.00021471,0.00021471
24,2724.34,1.96626,2.4167,2.7647,0.69458,0.67742,0.77711,0.33043,2.12195,2.49409,2.71828,0.000148696,0.000148696,0.000148696
25,2837.82,1.9501,2.38957,2.72742,0.61346,0.76805,0.74307,0.32346,2.09072,2.44848,2.67985,8.26832e-05,8.26832e-05,8.26832e-05
